index,image,psnr_j0,ssim_j0,psnr_j,ssim_j,identity_abs_max,psnr_oracle_lf,ssim_oracle_lf,psnr_oracle_lf_bound,ssim_oracle_lf_bound,oracle_lf_vs_j0_delta,oracle_lf_bound_vs_j0_delta
1,1000_0.73_1.8.png,29.27677149819267,0.989875853061676,29.27677149819267,0.989875853061676,0.0,44.826278523224595,0.9949222803115845,44.75007022447699,0.9949276447296143,15.549507025031925,15.473298726284323
2,100_0.5_1.76.png,30.76468815066864,0.9860655069351196,30.76468815066864,0.9860655069351196,0.0,41.72795791728123,0.9941121339797974,41.723872976052064,0.9941095113754272,10.96326976661259,10.959184825383424
3,101_0.83_1.44.png,24.8211095566417,0.966732382774353,24.8211095566417,0.966732382774353,0.0,42.90145659115913,0.9931829571723938,38.61276401604186,0.9918951988220215,18.08034703451743,13.791654459400156
4,102_0.67_1.36.png,25.436669360526217,0.969868004322052,25.436669360526217,0.969868004322052,0.0,43.4060551003353,0.9945505261421204,40.50312100539803,0.9940464496612549,17.969385739809084,15.066451644871812
5,103_0.94_0.98.png,28.301470170175016,0.9779910445213318,28.301470170175016,0.9779910445213318,0.0,42.86899999969126,0.9944190979003906,41.46768070827699,0.994023323059082,14.567529829516246,13.166210538101971
6,104_0.91_1.41.png,25.367978607319866,0.966249406337738,25.367978607319866,0.966249406337738,0.0,41.77621224455109,0.992006778717041,37.91188780560178,0.990583598613739,16.408233637231223,12.543909198281913
7,105_0.84_0.8.png,25.7742687823225,0.9798859357833862,25.7742687823225,0.9798859357833862,0.0,45.228043731134136,0.9948898553848267,35.773361138884695,0.9937426447868347,19.453774948811635,9.999092356562194
8,106_0.59_1.07.png,28.4677161284107,0.9819847941398621,28.4677161284107,0.9819847941398621,0.0,43.18508824373119,0.9914364814758301,39.78144144478715,0.9910143613815308,14.717372115320487,11.313725316376448
9,107_0.89_1.5.png,27.879227197932348,0.9823400378227234,27.879227197932348,0.9823400378227234,0.0,44.10310684952323,0.9935318231582642,40.79330638933683,0.9932726621627808,16.22387965159088,12.914079191404479
10,108_0.73_1.27.png,27.247279060244615,0.9827338457107544,27.247279060244615,0.9827338457107544,0.0,44.23822966423601,0.9936150312423706,38.003886030181796,0.9929254055023193,16.990950603991394,10.756606969937181
11,109_0.74_1.74.png,28.098890415911065,0.9834933280944824,28.098890415911065,0.9834933280944824,0.0,45.40930684793224,0.9948946833610535,41.75532357651531,0.9944827556610107,17.310416432021178,13.656433160604244
12,10_0.6_1.67.png,31.13178185939192,0.9915487766265869,31.13178185939192,0.9915487766265869,0.0,43.4697774778709,0.9943385124206543,43.4697774778709,0.9943385124206543,12.337995618478978,12.337995618478978
13,110_0.68_1.22.png,28.09414168474817,0.9878860712051392,28.09414168474817,0.9878860712051392,0.0,46.9867099345105,0.9962169528007507,43.47406701121883,0.9959410429000854,18.89256824976233,15.379925326470659
14,111_0.98_0.89.png,26.927077189631305,0.9785487055778503,26.927077189631305,0.9785487055778503,0.0,48.31689610729071,0.996924102306366,37.604062742559144,0.9955109357833862,21.389818917659404,10.676985552927839
15,112_0.54_0.98.png,26.025126750691506,0.9892253279685974,26.025126750691506,0.9892253279685974,0.0,47.48747170659272,0.9958465099334717,45.23219607087752,0.9957433938980103,21.462344955901216,19.207069320186015
16,113_0.71_1.48.png,30.892240551415036,0.9823638796806335,30.892240551415036,0.9823638796806335,0.0,41.76231387163028,0.99356609582901,41.68740807452592,0.9935771822929382,10.870073320215248,10.795167523110884
17,114_0.7_0.91.png,33.73400144382092,0.989470899105072,33.73400144382092,0.989470899105072,0.0,43.93885096902616,0.9962270855903625,43.93885096902616,0.9962270855903625,10.20484952520524,10.20484952520524
18,115_0.52_0.82.png,35.2322033970856,0.9928066730499268,35.2322033970856,0.9928066730499268,0.0,44.02971184538944,0.9969199299812317,44.02971184538944,0.9969199299812317,8.797508448303844,8.797508448303844
19,116_0.73_1.62.png,29.721950981390442,0.9783820509910583,29.721950981390442,0.9783820509910583,0.0,41.15999077265701,0.9925057291984558,41.00673341015682,0.9925034046173096,11.438039791266569,11.284782428766377
20,117_0.69_1.13.png,28.0510960852356,0.9866629242897034,28.0510960852356,0.9866629242897034,0.0,41.74929032341887,0.9953641891479492,40.38669853218256,0.9950759410858154,13.69819423818327,12.335602446946957
21,118_0.68_1.96.png,26.590670759584864,0.9797420501708984,26.590670759584864,0.9797420501708984,0.0,39.217402230722136,0.991943359375,36.94101507169886,0.991246223449707,12.626731471137273,10.350344312113993
22,119_0.81_0.75.png,29.371107222379752,0.9896741509437561,29.371107222379752,0.9896741509437561,0.0,44.243190902420295,0.99675452709198,42.826385376712324,0.9965540766716003,14.872083680040543,13.455278154332571
23,11_0.98_0.72.png,34.572094761434805,0.9950129389762878,34.572094761434805,0.9950129389762878,0.0,46.57776579341875,0.9972491264343262,46.57776579341875,0.9972491264343262,12.005671031983944,12.005671031983944
24,120_0.8_0.89.png,29.292342767799457,0.9890536665916443,29.292342767799457,0.9890536665916443,0.0,43.59185798677247,0.9963986873626709,41.751412879789285,0.996113121509552,14.29951521897301,12.459070111989828
25,121_0.86_1.21.png,30.100656483004144,0.9791859984397888,30.100656483004144,0.9791859984397888,0.0,44.01846674209977,0.9936351180076599,43.93471162630717,0.9936063885688782,13.917810259095624,13.834055143303026
26,122_0.94_1.72.png,30.390295886816517,0.9739511013031006,30.390295886816517,0.9739511013031006,0.0,42.05834698410949,0.9890474677085876,42.044268595951465,0.9890404939651489,11.668051097292974,11.653972709134948
27,123_0.59_0.7.png,32.10912407385248,0.9816495180130005,32.10912407385248,0.9816495180130005,0.0,46.2285205827127,0.996073305606842,46.072618740332985,0.9960438013076782,14.11939650886022,13.963494666480507
28,124_1.0_0.82.png,29.4413996959021,0.9801227450370789,29.4413996959021,0.9801227450370789,0.0,44.436347291190536,0.9946052432060242,44.31469238815082,0.9945665597915649,14.994947595288437,14.873292692248718
29,125_0.57_1.94.png,32.27826345561426,0.9889933466911316,32.27826345561426,0.9889933466911316,0.0,40.579093793392325,0.994126558303833,40.57908151724323,0.994126558303833,8.300830337778066,8.300818061628974
30,126_0.64_1.73.png,33.83247444509498,0.9898484945297241,33.83247444509498,0.9898484945297241,0.0,41.813007690210256,0.9952428340911865,41.813007690210256,0.9952428340911865,7.980533245115275,7.980533245115275
31,127_0.57_0.92.png,36.19361496579886,0.9939597845077515,36.19361496579886,0.9939597845077515,0.0,44.565266846783715,0.9973692297935486,44.565266846783715,0.9973692297935486,8.371651880984857,8.371651880984857
32,128_0.65_0.67.png,37.02428332705829,0.9943760633468628,37.02428332705829,0.9943760633468628,0.0,45.461597297273705,0.997862696647644,45.461597297273705,0.997862696647644,8.437313970215413,8.437313970215413
